,Test File ID,Top K with encryption,Top K without encryption,Disease name,Rank with encryption,NDCG with encryption,Rank without encryption,NDCG without encryption
0,ALS_26515621_1_gemini2p5flash_SO.txt,"                                                        Disease  Score
                                        Distal nebulin myopathy   0.86
                 Alpha-B crystallin-related late-onset myopathy   0.86
                                  Amyotrophic lateral sclerosis   0.86
                    Neutral lipid storage disease with myopathy   0.86
Autosomal dominant adult-onset proximal spinal muscular atrophy   0.85
                                  Adult-onset nemaline myopathy   0.85
             Late-onset distal myopathy, Markesbery-Griggs type   0.85
                                     Bethlem muscular dystrophy   0.85
              Lower motor neuron syndrome with late-adult onset   0.85
                                          Distal myotilinopathy   0.85
           Moderate multiminicore disease with hand involvement   0.85
        Autosomal dominant progressive external ophthalmoplegia   0.84
                                           Neuralgic amyotrophy   0.84
                                 Distal myopathy, Tateyama type   0.84
                                 Hypokalemic periodic paralysis   0.84
                                      Acute transverse myelitis   0.84
                                   Oculopharyngodistal myopathy   0.84
                                     Proximal myotonic myopathy   0.84
                              Lambert-Eaton myasthenic syndrome   0.84
                               Proximal spinal muscular atrophy   0.84","                                                        Disease  Score
                                        Distal nebulin myopathy   0.86
                 Alpha-B crystallin-related late-onset myopathy   0.86
                                  Amyotrophic lateral sclerosis   0.86
                    Neutral lipid storage disease with myopathy   0.86
Autosomal dominant adult-onset proximal spinal muscular atrophy   0.85
                                  Adult-onset nemaline myopathy   0.85
             Late-onset distal myopathy, Markesbery-Griggs type   0.85
                                     Bethlem muscular dystrophy   0.85
              Lower motor neuron syndrome with late-adult onset   0.85
                                          Distal myotilinopathy   0.85
           Moderate multiminicore disease with hand involvement   0.85
        Autosomal dominant progressive external ophthalmoplegia   0.84
                                           Neuralgic amyotrophy   0.84
                                 Distal myopathy, Tateyama type   0.84
                                 Hypokalemic periodic paralysis   0.84
                                      Acute transverse myelitis   0.84
                                   Oculopharyngodistal myopathy   0.84
                                     Proximal myotonic myopathy   0.84
                              Lambert-Eaton myasthenic syndrome   0.84
                               Proximal spinal muscular atrophy   0.84",ALS,3,0.5,3,0.5
1,ALS_26515621_2_gemini2p5flash_SO.txt,"                                                         Disease  Score
      Adenylosuccinate synthetase-like 1-related distal myopathy   0.87
        Autosomal recessive axonal neuropathy with neuromyotonia   0.86
         Autosomal dominant Charcot-Marie-Tooth disease type 2A2   0.86
                                           Laing distal myopathy   0.85
                                   Facioscapulohumeral dystrophy   0.85
                      Distal myopathy with anterior tibial onset   0.85
Distal myopathy with posterior leg and anterior hand involvement   0.85
              Hereditary sensory and autonomic neuropathy type 1   0.85
               Lower motor neuron syndrome with late-adult onset   0.85
                                       Tibial muscular dystrophy   0.85
          Autosomal dominant Charcot-Marie-Tooth disease type 2Y   0.85
                     HNRNPA1-related adult-onset distal myopathy   0.85
                                               Friedreich ataxia   0.85
                             Charcot-Marie-Tooth disease type 4C   0.84
                                   Adult-onset nemaline myopathy   0.84
                                  Distal myopathy, Welander type   0.84
                                           Distal myotilinopathy   0.84
              Plectin-related limb-girdle muscular dystrophy R17   0.84
                                         Distal nebulin myopathy   0.84
                 Adult-onset distal myopathy due to VCP mutation   0.84","                                                                               Disease  Score
                            Adenylosuccinate synthetase-like 1-related distal myopathy   0.87
                               Autosomal dominant Charcot-Marie-Tooth disease type 2A2   0.86
                              Autosomal recessive axonal neuropathy with neuromyotonia   0.86
                                           HNRNPA1-related adult-onset distal myopathy   0.85
                                     Lower motor neuron syndrome with late-adult onset   0.85
                                                             Tibial muscular dystrophy   0.85
                                    Hereditary sensory and autonomic neuropathy type 1   0.85
                                                         Facioscapulohumeral dystrophy   0.85
                                                                 Laing distal myopathy   0.85
                                Autosomal dominant Charcot-Marie-Tooth disease type 2Y   0.85
                                            Distal myopathy with anterior tibial onset   0.85
                                                                     Friedreich ataxia   0.85
                      Distal myopathy with posterior leg and anterior hand involvement   0.85
Autosomal recessive axonal Charcot-Marie-Tooth disease due to copper metabolism defect   0.84
                           Alpha-sarcoglycan-related limb-girdle muscular dystrophy R3   0.84
                                                   Charcot-Marie-Tooth disease type 4A   0.84
                                                        Distal myopathy, Welander type   0.84
                                       Adult-onset distal myopathy due to VCP mutation   0.84
                                                X-linked progressive cerebellar ataxia   0.84
                                    Late-onset distal myopathy, Markesbery-Griggs type   0.84",ALS,77,0,73,0
2,ALS_26515621_3_gemini2p5flash_SO.txt,"                                                                                        Disease  Score
                                                                   Oculopharyngodistal myopathy   0.87
                                                             Oculopharyngeal muscular dystrophy   0.86
                                                                      Dystonia-aphonia syndrome   0.86
                                                                        Distal nebulin myopathy   0.86
                                                                 Congenital myasthenic syndrome   0.85
                                                                          Distal myotilinopathy   0.85
                                Autosomal recessive Charcot-Marie-Tooth disease with hoarseness   0.85
                                                      Vocal cord and pharyngeal distal myopathy   0.85
                                                                 Progressive non-fluent aphasia   0.85
                                    Hypotonia-speech impairment-severe cognitive delay syndrome   0.85
Congenital muscular dystrophy-respiratory failure-skin abnormalities-joint hyperlaxity syndrome   0.85
                                                               Proximal spinal muscular atrophy   0.85
                                       Congenital lactic acidosis, Saguenay-Lac-Saint-Jean type   0.84
                                Ossification anomalies-psychomotor developmental delay syndrome   0.84
                                           Progressive supranuclear palsy-corticobasal syndrome   0.84
                                                                      Primary lateral sclerosis   0.84
                                                     Multiple system atrophy, parkinsonian type   0.84
                                                                       Bilateral polymicrogyria   0.84
                                                                 Classic multiminicore myopathy   0.84
                                                 Autosomal recessive spastic paraplegia type 46   0.84","                                                                                        Disease  Score
                                                                   Oculopharyngodistal myopathy   0.87
                                                             Oculopharyngeal muscular dystrophy   0.86
                                                                      Dystonia-aphonia syndrome   0.86
                                                                        Distal nebulin myopathy   0.86
                                                                 Congenital myasthenic syndrome   0.85
                                                                          Distal myotilinopathy   0.85
                                Autosomal recessive Charcot-Marie-Tooth disease with hoarseness   0.85
                                                      Vocal cord and pharyngeal distal myopathy   0.85
                                                                 Progressive non-fluent aphasia   0.85
                                    Hypotonia-speech impairment-severe cognitive delay syndrome   0.85
Congenital muscular dystrophy-respiratory failure-skin abnormalities-joint hyperlaxity syndrome   0.85
                                                               Proximal spinal muscular atrophy   0.85
                                       Congenital lactic acidosis, Saguenay-Lac-Saint-Jean type   0.84
                                Ossification anomalies-psychomotor developmental delay syndrome   0.84
                                           Progressive supranuclear palsy-corticobasal syndrome   0.84
                                                                      Primary lateral sclerosis   0.84
                                                     Multiple system atrophy, parkinsonian type   0.84
                                                                       Bilateral polymicrogyria   0.84
                                                                 Classic multiminicore myopathy   0.84
                                                 Autosomal recessive spastic paraplegia type 46   0.84",ALS,58,0,58,0
3,ALS_28356084_1_gemini2p5flash_SO.txt,"                                                        Disease  Score
                                     O'Sullivan-McLeod syndrome   0.86
                                           Muscle filaminopathy   0.86
                                  Adult-onset nemaline myopathy   0.86
             Late-onset distal myopathy, Markesbery-Griggs type   0.86
                                          Distal myotilinopathy   0.86
                    Neutral lipid storage disease with myopathy   0.85
                           Immune-mediated necrotizing myopathy   0.85
                                 Distal myopathy, Tateyama type   0.85
     Adenylosuccinate synthetase-like 1-related distal myopathy   0.85
                                        Distal nebulin myopathy   0.85
              Lower motor neuron syndrome with late-adult onset   0.85
                                     Proximal myotonic myopathy   0.85
                                 Hypokalemic periodic paralysis   0.85
           Moderate multiminicore disease with hand involvement   0.85
            Dysferlin-related limb-girdle muscular dystrophy R2   0.84
                                                   GNE myopathy   0.84
                                               Miyoshi myopathy   0.84
         Anoctamin-5-related limb-girdle muscular dystrophy R12   0.84
Autosomal dominant adult-onset proximal spinal muscular atrophy   0.84
                                   Oculopharyngodistal myopathy   0.84","                                                        Disease  Score
                                     O'Sullivan-McLeod syndrome   0.86
                                           Muscle filaminopathy   0.86
                                  Adult-onset nemaline myopathy   0.86
             Late-onset distal myopathy, Markesbery-Griggs type   0.86
                                          Distal myotilinopathy   0.86
                    Neutral lipid storage disease with myopathy   0.85
                           Immune-mediated necrotizing myopathy   0.85
                                 Distal myopathy, Tateyama type   0.85
     Adenylosuccinate synthetase-like 1-related distal myopathy   0.85
                                        Distal nebulin myopathy   0.85
              Lower motor neuron syndrome with late-adult onset   0.85
                                     Proximal myotonic myopathy   0.85
                                 Hypokalemic periodic paralysis   0.85
           Moderate multiminicore disease with hand involvement   0.85
            Dysferlin-related limb-girdle muscular dystrophy R2   0.84
                                                   GNE myopathy   0.84
                                               Miyoshi myopathy   0.84
         Anoctamin-5-related limb-girdle muscular dystrophy R12   0.84
Autosomal dominant adult-onset proximal spinal muscular atrophy   0.84
                                   Oculopharyngodistal myopathy   0.84",ALS,30,0,30,0
4,ALS_28356084_2_gemini2p5flash_SO.txt,"                                                                         Disease  Score
                                                      O'Sullivan-McLeod syndrome   0.81
                                                                Sheehan syndrome   0.81
                                                   Adult-onset nemaline myopathy   0.81
                                  Autosomal recessive spastic paraplegia type 78   0.80
                                                         Multiple system atrophy   0.80
                                                            Neuralgic amyotrophy   0.80
Symptomatic form of muscular dystrophy of Duchenne and Becker in female carriers   0.80
                                                         Idiopathic camptocormia   0.80
                                                   Facioscapulohumeral dystrophy   0.80
                            Moderate multiminicore disease with hand involvement   0.80
                                                           Distal myotilinopathy   0.80
                                                         Distal nebulin myopathy   0.80
                                      Multiple system atrophy, parkinsonian type   0.80
                                                      Wild type ATTR amyloidosis   0.80
                                                  Spinocerebellar ataxia type 43   0.80
                                 Sporadic adult-onset ataxia of unknown etiology   0.80
                                Infantile-onset X-linked spinal muscular atrophy   0.79
                                              Hypermobile Ehlers-Danlos syndrome   0.79
                                      Musculocontractural Ehlers-Danlos syndrome   0.79
                                                            Polyarteritis nodosa   0.79","                                                                         Disease  Score
                                                      O'Sullivan-McLeod syndrome   0.81
                                                                Sheehan syndrome   0.81
                                                   Adult-onset nemaline myopathy   0.81
                                  Autosomal recessive spastic paraplegia type 78   0.80
                                                         Multiple system atrophy   0.80
                                                            Neuralgic amyotrophy   0.80
Symptomatic form of muscular dystrophy of Duchenne and Becker in female carriers   0.80
                                                         Idiopathic camptocormia   0.80
                                                   Facioscapulohumeral dystrophy   0.80
                            Moderate multiminicore disease with hand involvement   0.80
                                                           Distal myotilinopathy   0.80
                                                         Distal nebulin myopathy   0.80
                                      Multiple system atrophy, parkinsonian type   0.80
                                                      Wild type ATTR amyloidosis   0.80
                                                  Spinocerebellar ataxia type 43   0.80
                                 Sporadic adult-onset ataxia of unknown etiology   0.80
                                Infantile-onset X-linked spinal muscular atrophy   0.79
                                              Hypermobile Ehlers-Danlos syndrome   0.79
                                      Musculocontractural Ehlers-Danlos syndrome   0.79
                                                            Polyarteritis nodosa   0.79",ALS,116,0,116,0
5,ALS_33230634_gemini2p5flash_SO.txt,"                                                         Disease  Score
                                           Distal myotilinopathy   0.85
              Late-onset distal myopathy, Markesbery-Griggs type   0.85
                                                Miyoshi myopathy   0.85
           Hereditary motor and sensory neuropathy, Okinawa type   0.85
                                    Oculopharyngodistal myopathy   0.85
Distal myopathy with posterior leg and anterior hand involvement   0.85
                                            Kufor-Rakeb syndrome   0.84
                                   Adult-onset nemaline myopathy   0.84
                                      Bethlem muscular dystrophy   0.84
                                         Distal nebulin myopathy   0.84
               Lower motor neuron syndrome with late-adult onset   0.84
              Subacute inflammatory demyelinating polyneuropathy   0.84
                                       Acute transverse myelitis   0.84
                                            Muscle filaminopathy   0.84
                                     Variant ABeta2M amyloidosis   0.84
                                           Adrenomyeloneuropathy   0.84
                                            Adult Krabbe disease   0.84
                                           Laing distal myopathy   0.84
                Infantile-onset X-linked spinal muscular atrophy   0.84
                                Proximal spinal muscular atrophy   0.84","                                                         Disease  Score
                                           Distal myotilinopathy   0.85
              Late-onset distal myopathy, Markesbery-Griggs type   0.85
                                                Miyoshi myopathy   0.85
           Hereditary motor and sensory neuropathy, Okinawa type   0.85
                                    Oculopharyngodistal myopathy   0.85
Distal myopathy with posterior leg and anterior hand involvement   0.85
                                            Kufor-Rakeb syndrome   0.84
                                   Adult-onset nemaline myopathy   0.84
                                      Bethlem muscular dystrophy   0.84
                                         Distal nebulin myopathy   0.84
               Lower motor neuron syndrome with late-adult onset   0.84
              Subacute inflammatory demyelinating polyneuropathy   0.84
                                       Acute transverse myelitis   0.84
                                            Muscle filaminopathy   0.84
                                     Variant ABeta2M amyloidosis   0.84
                                           Adrenomyeloneuropathy   0.84
                                            Adult Krabbe disease   0.84
                                           Laing distal myopathy   0.84
                Infantile-onset X-linked spinal muscular atrophy   0.84
                                Proximal spinal muscular atrophy   0.84",ALS,42,0,42,0
6,ALS_34254495_gemini2p5flash_SO.txt,"                                                          Disease  Score
                                          Distal nebulin myopathy   0.87
                                            Distal myotilinopathy   0.87
               Plectin-related limb-girdle muscular dystrophy R17   0.87
                                     Oculopharyngodistal myopathy   0.87
 Distal myopathy with posterior leg and anterior hand involvement   0.87
                 Infantile-onset X-linked spinal muscular atrophy   0.87
  Spinal muscular atrophy-progressive myoclonic epilepsy syndrome   0.86
               Late-onset distal myopathy, Markesbery-Griggs type   0.86
                                      Steinert myotonic dystrophy   0.86
                  Adult-onset distal myopathy due to VCP mutation   0.86
       Adenylosuccinate synthetase-like 1-related distal myopathy   0.86
                                   Congenital myasthenic syndrome   0.86
                                Lambert-Eaton myasthenic syndrome   0.86
                    Autosomal dominant spastic paraplegia type 17   0.86
                                Childhood-onset nemaline myopathy   0.86
                                            Laing distal myopathy   0.86
                                    Adult-onset nemaline myopathy   0.86
                                   Atypical juvenile parkinsonism   0.86
                         Synaptic congenital myasthenic syndromes   0.86
Progressive external ophthalmoplegia-myopathy-emaciation syndrome   0.86","                                                          Disease  Score
                                          Distal nebulin myopathy   0.87
                                            Distal myotilinopathy   0.87
               Plectin-related limb-girdle muscular dystrophy R17   0.87
                                     Oculopharyngodistal myopathy   0.87
 Distal myopathy with posterior leg and anterior hand involvement   0.87
                 Infantile-onset X-linked spinal muscular atrophy   0.87
  Spinal muscular atrophy-progressive myoclonic epilepsy syndrome   0.86
               Late-onset distal myopathy, Markesbery-Griggs type   0.86
                                      Steinert myotonic dystrophy   0.86
                  Adult-onset distal myopathy due to VCP mutation   0.86
       Adenylosuccinate synthetase-like 1-related distal myopathy   0.86
                                   Congenital myasthenic syndrome   0.86
                                Lambert-Eaton myasthenic syndrome   0.86
                    Autosomal dominant spastic paraplegia type 17   0.86
                                Childhood-onset nemaline myopathy   0.86
                                            Laing distal myopathy   0.86
                                    Adult-onset nemaline myopathy   0.86
                                   Atypical juvenile parkinsonism   0.86
                         Synaptic congenital myasthenic syndromes   0.86
Progressive external ophthalmoplegia-myopathy-emaciation syndrome   0.86",ALS,23,0,23,0
7,ALS_34916730_1_gemini2p5flash_SO.txt,"                                                         Disease  Score
               Lower motor neuron syndrome with late-adult onset   0.87
              Subacute inflammatory demyelinating polyneuropathy   0.86
                   Autosomal dominant spastic paraplegia type 38   0.86
        Autosomal recessive axonal neuropathy with neuromyotonia   0.86
Distal myopathy with posterior leg and anterior hand involvement   0.85
                  Autosomal recessive spastic paraplegia type 74   0.85
                                           Laing distal myopathy   0.85
                 Adult-onset distal myopathy due to VCP mutation   0.85
                    Autosomal dominant spastic paraplegia type 8   0.85
                                           Adrenomyeloneuropathy   0.85
              Hereditary sensory and autonomic neuropathy type 1   0.85
                   Autosomal dominant spastic paraplegia type 42   0.85
                            Charcot-Marie-Tooth disease type 2B1   0.85
                       Distal hereditary motor neuropathy type 5   0.85
                MT-ATP6-related mitochondrial spastic paraplegia   0.85
                                           Distal myotilinopathy   0.85
                   Autosomal dominant spastic paraplegia type 41   0.84
                                                Miyoshi myopathy   0.84
                                   Adult-onset nemaline myopathy   0.84
                                       Tibial muscular dystrophy   0.84","                                                         Disease  Score
               Lower motor neuron syndrome with late-adult onset   0.87
              Subacute inflammatory demyelinating polyneuropathy   0.86
                   Autosomal dominant spastic paraplegia type 38   0.86
        Autosomal recessive axonal neuropathy with neuromyotonia   0.86
Distal myopathy with posterior leg and anterior hand involvement   0.85
                  Autosomal recessive spastic paraplegia type 74   0.85
                                           Laing distal myopathy   0.85
                 Adult-onset distal myopathy due to VCP mutation   0.85
                    Autosomal dominant spastic paraplegia type 8   0.85
                                           Adrenomyeloneuropathy   0.85
              Hereditary sensory and autonomic neuropathy type 1   0.85
                   Autosomal dominant spastic paraplegia type 42   0.85
                            Charcot-Marie-Tooth disease type 2B1   0.85
                       Distal hereditary motor neuropathy type 5   0.85
                MT-ATP6-related mitochondrial spastic paraplegia   0.85
                                           Distal myotilinopathy   0.85
                   Autosomal dominant spastic paraplegia type 41   0.84
                                                Miyoshi myopathy   0.84
                                   Adult-onset nemaline myopathy   0.84
                                       Tibial muscular dystrophy   0.84",ALS,45,0,45,0
8,ALS_34916730_2_gemini2p5flash_SO.txt,"                                                         Disease  Score
               Lower motor neuron syndrome with late-adult onset   0.86
                MT-ATP6-related mitochondrial spastic paraplegia   0.86
                                           Distal myotilinopathy   0.85
                                            Muscle filaminopathy   0.85
                                           Laing distal myopathy   0.85
        Autosomal recessive axonal neuropathy with neuromyotonia   0.85
                   Autosomal dominant spastic paraplegia type 42   0.85
          Anoctamin-5-related limb-girdle muscular dystrophy R12   0.85
Distal myopathy with posterior leg and anterior hand involvement   0.85
             Dysferlin-related limb-girdle muscular dystrophy R2   0.85
                  Autosomal recessive spastic paraplegia type 74   0.84
                            Charcot-Marie-Tooth disease type 2B1   0.84
                                       Acute transverse myelitis   0.84
                   Autosomal dominant spastic paraplegia type 38   0.84
 Autosomal dominant adult-onset proximal spinal muscular atrophy   0.84
                       Distal hereditary motor neuropathy type 5   0.84
                                     Variant ABeta2M amyloidosis   0.84
                                          Distal anoctaminopathy   0.84
      Adenylosuccinate synthetase-like 1-related distal myopathy   0.84
                   Autosomal dominant spastic paraplegia type 73   0.84","                                                         Disease  Score
                MT-ATP6-related mitochondrial spastic paraplegia   0.86
               Lower motor neuron syndrome with late-adult onset   0.86
                                            Muscle filaminopathy   0.85
        Autosomal recessive axonal neuropathy with neuromyotonia   0.85
                                           Laing distal myopathy   0.85
Distal myopathy with posterior leg and anterior hand involvement   0.85
          Anoctamin-5-related limb-girdle muscular dystrophy R12   0.85
                                           Distal myotilinopathy   0.85
             Dysferlin-related limb-girdle muscular dystrophy R2   0.85
                   Autosomal dominant spastic paraplegia type 42   0.85
                                     Variant ABeta2M amyloidosis   0.84
     Gamma-sarcoglycan-related limb-girdle muscular dystrophy R5   0.84
                                          Distal anoctaminopathy   0.84
                            Charcot-Marie-Tooth disease type 2B1   0.84
              Subacute inflammatory demyelinating polyneuropathy   0.84
              Late-onset distal myopathy, Markesbery-Griggs type   0.84
             Calpain-3-related limb-girdle muscular dystrophy R1   0.84
 Autosomal dominant adult-onset proximal spinal muscular atrophy   0.84
                  Autosomal recessive spastic paraplegia type 74   0.84
        Polyneuropathy associated with IgM monoclonal gammopathy   0.84",ALS,54,0,61,0
9,ALS_34916730_3_gemini2p5flash_SO.txt,"                                                 Disease  Score
                                    Neuralgic amyotrophy   0.84
                       Lambert-Eaton myasthenic syndrome   0.83
                           Adult-onset nemaline myopathy   0.83
                                       Benign schwannoma   0.83
                              O'Sullivan-McLeod syndrome   0.83
                                 Distal nebulin myopathy   0.83
   Hereditary motor and sensory neuropathy, Okinawa type   0.82
                                    Muscle filaminopathy   0.82
                       Emery-Dreifuss muscular dystrophy   0.82
                             Steinert myotonic dystrophy   0.82
                     Charcot-Marie-Tooth disease type 1F   0.82
    Moderate multiminicore disease with hand involvement   0.82
Autosomal recessive progressive external ophthalmoplegia   0.82
       Lower motor neuron syndrome with late-adult onset   0.82
                           Wild type ABeta2M amyloidosis   0.82
                              Proximal myotonic myopathy   0.82
                     Charcot-Marie-Tooth disease type 4A   0.82
                                   Adrenomyeloneuropathy   0.82
                                     Neuroferritinopathy   0.82
                             Multifocal motor neuropathy   0.82","                                                 Disease  Score
                                    Neuralgic amyotrophy   0.84
                       Lambert-Eaton myasthenic syndrome   0.83
                           Adult-onset nemaline myopathy   0.83
                                       Benign schwannoma   0.83
                              O'Sullivan-McLeod syndrome   0.83
                                 Distal nebulin myopathy   0.83
   Hereditary motor and sensory neuropathy, Okinawa type   0.82
                                    Muscle filaminopathy   0.82
                       Emery-Dreifuss muscular dystrophy   0.82
                             Steinert myotonic dystrophy   0.82
                     Charcot-Marie-Tooth disease type 1F   0.82
    Moderate multiminicore disease with hand involvement   0.82
Autosomal recessive progressive external ophthalmoplegia   0.82
       Lower motor neuron syndrome with late-adult onset   0.82
                           Wild type ABeta2M amyloidosis   0.82
                              Proximal myotonic myopathy   0.82
                     Charcot-Marie-Tooth disease type 4A   0.82
                                   Adrenomyeloneuropathy   0.82
                                     Neuroferritinopathy   0.82
                             Multifocal motor neuropathy   0.82",ALS,35,0,35,0
