,Test File ID,Top K with encryption,Top K without encryption,Disease name,Rank with encryption,NDCG with encryption,Rank without encryption,NDCG without encryption
0,ALS_26515621_1_gemini2p5flash_SO.txt,"                                                                       Disease  Score
                                                   Multifocal motor neuropathy   0.62
                                   Facial onset sensory and motor neuronopathy   0.55
                                                          Monomelic amyotrophy   0.54
                                        Juvenile amyotrophic lateral sclerosis   0.53
                             Lower motor neuron syndrome with late-adult onset   0.53
                                                 Amyotrophic lateral sclerosis   0.53
                                              Proximal spinal muscular atrophy   0.52
                                                       Inclusion body myositis   0.52
                                          Amyotrophic lateral sclerosis type 4   0.52
                             Chronic inflammatory demyelinating polyneuropathy   0.50
               Autosomal dominant adult-onset proximal spinal muscular atrophy   0.50
                      Autosomal recessive axonal neuropathy with neuromyotonia   0.50
                                                     Primary lateral sclerosis   0.50
                            Subacute inflammatory demyelinating polyneuropathy   0.49
                   Delta-sarcoglycan-related limb-girdle muscular dystrophy R6   0.49
                              DNAJB6-related limb-girdle muscular dystrophy D1   0.49
                                          Immune-mediated necrotizing myopathy   0.49
                            Plectin-related limb-girdle muscular dystrophy R17   0.49
Inclusion body myopathy with Paget disease of bone and frontotemporal dementia   0.49
                                                               Kennedy disease   0.48","                                                                       Disease  Score
                                                   Multifocal motor neuropathy   0.62
                                   Facial onset sensory and motor neuronopathy   0.55
                                                          Monomelic amyotrophy   0.54
                                        Juvenile amyotrophic lateral sclerosis   0.53
                             Lower motor neuron syndrome with late-adult onset   0.53
                                                 Amyotrophic lateral sclerosis   0.53
                                              Proximal spinal muscular atrophy   0.52
                                                       Inclusion body myositis   0.52
                                          Amyotrophic lateral sclerosis type 4   0.52
                             Chronic inflammatory demyelinating polyneuropathy   0.50
               Autosomal dominant adult-onset proximal spinal muscular atrophy   0.50
                      Autosomal recessive axonal neuropathy with neuromyotonia   0.50
                                                     Primary lateral sclerosis   0.50
                            Subacute inflammatory demyelinating polyneuropathy   0.49
                   Delta-sarcoglycan-related limb-girdle muscular dystrophy R6   0.49
                              DNAJB6-related limb-girdle muscular dystrophy D1   0.49
                                          Immune-mediated necrotizing myopathy   0.49
                            Plectin-related limb-girdle muscular dystrophy R17   0.49
Inclusion body myopathy with Paget disease of bone and frontotemporal dementia   0.49
                                                               Kennedy disease   0.48",ALS,6,0.356207187,6,0.356207187
1,ALS_26515621_2_gemini2p5flash_SO.txt,"                                                        Disease  Score
                                    Multifocal motor neuropathy   0.55
       Autosomal recessive axonal neuropathy with neuromyotonia   0.54
             Subacute inflammatory demyelinating polyneuropathy   0.53
         Autosomal dominant Charcot-Marie-Tooth disease type 2E   0.53
         Autosomal dominant Charcot-Marie-Tooth disease type 2Y   0.53
         Autosomal dominant Charcot-Marie-Tooth disease type 2F   0.52
                            Charcot-Marie-Tooth disease type 4A   0.52
              Lower motor neuron syndrome with late-adult onset   0.52
        Autosomal dominant Charcot-Marie-Tooth disease type 2A2   0.52
                    X-linked Charcot-Marie-Tooth disease type 6   0.51
                            Charcot-Marie-Tooth disease type 1F   0.51
                            Charcot-Marie-Tooth disease type 1A   0.51
              Chronic inflammatory demyelinating polyneuropathy   0.51
                            Charcot-Marie-Tooth disease type 1E   0.50
                    X-linked Charcot-Marie-Tooth disease type 2   0.50
Autosomal dominant adult-onset proximal spinal muscular atrophy   0.50
                    X-linked Charcot-Marie-Tooth disease type 1   0.50
                            Charcot-Marie-Tooth disease type 4C   0.50
                               Proximal spinal muscular atrophy   0.49
         Autosomal dominant Charcot-Marie-Tooth disease type 2W   0.49","                                                        Disease  Score
                                    Multifocal motor neuropathy   0.55
       Autosomal recessive axonal neuropathy with neuromyotonia   0.54
         Autosomal dominant Charcot-Marie-Tooth disease type 2Y   0.53
             Subacute inflammatory demyelinating polyneuropathy   0.53
         Autosomal dominant Charcot-Marie-Tooth disease type 2E   0.53
         Autosomal dominant Charcot-Marie-Tooth disease type 2F   0.52
        Autosomal dominant Charcot-Marie-Tooth disease type 2A2   0.52
              Lower motor neuron syndrome with late-adult onset   0.52
                            Charcot-Marie-Tooth disease type 4A   0.52
                            Charcot-Marie-Tooth disease type 1F   0.51
              Chronic inflammatory demyelinating polyneuropathy   0.51
                    X-linked Charcot-Marie-Tooth disease type 6   0.51
                            Charcot-Marie-Tooth disease type 1A   0.51
                    X-linked Charcot-Marie-Tooth disease type 2   0.50
                            Charcot-Marie-Tooth disease type 1E   0.50
Autosomal dominant adult-onset proximal spinal muscular atrophy   0.50
                    X-linked Charcot-Marie-Tooth disease type 1   0.50
                            Charcot-Marie-Tooth disease type 4C   0.50
                            Charcot-Marie-Tooth disease type 1B   0.49
                               Proximal spinal muscular atrophy   0.49",ALS,27,0,34,0
2,ALS_26515621_3_gemini2p5flash_SO.txt,"                                                           Disease  Score
                       Facial onset sensory and motor neuronopathy   0.57
                            Juvenile amyotrophic lateral sclerosis   0.52
                                      Oculopharyngodistal myopathy   0.51
                                     Amyotrophic lateral sclerosis   0.51
                         Vocal cord and pharyngeal distal myopathy   0.51
                                       Multifocal motor neuropathy   0.50
                                Oculopharyngeal muscular dystrophy   0.50
                 Peripheral motor neuropathy-dysautonomia syndrome   0.50
                                                Locked-in syndrome   0.49
                               Episodic ataxia with slurred speech   0.48
                    Alpha-B crystallin-related late-onset myopathy   0.48
                                  Proximal spinal muscular atrophy   0.48
                                          Worster-Drought syndrome   0.48
            Infantile-onset ascending hereditary spastic paralysis   0.48
                                                   Kennedy disease   0.48
Cranio-cervical dystonia with laryngeal and upper-limb involvement   0.48
                                               Iatrogenic botulism   0.48
           Glycogen storage disease due to acid maltase deficiency   0.47
                                       Madras motor neuron disease   0.47
                                    Congenital myasthenic syndrome   0.47","                                                           Disease  Score
                       Facial onset sensory and motor neuronopathy   0.57
                            Juvenile amyotrophic lateral sclerosis   0.52
                                      Oculopharyngodistal myopathy   0.51
                                     Amyotrophic lateral sclerosis   0.51
                         Vocal cord and pharyngeal distal myopathy   0.51
                                       Multifocal motor neuropathy   0.50
                                Oculopharyngeal muscular dystrophy   0.50
                 Peripheral motor neuropathy-dysautonomia syndrome   0.50
                                                Locked-in syndrome   0.49
                               Episodic ataxia with slurred speech   0.48
                    Alpha-B crystallin-related late-onset myopathy   0.48
                                  Proximal spinal muscular atrophy   0.48
                                          Worster-Drought syndrome   0.48
            Infantile-onset ascending hereditary spastic paralysis   0.48
                                                   Kennedy disease   0.48
Cranio-cervical dystonia with laryngeal and upper-limb involvement   0.48
                                               Iatrogenic botulism   0.48
           Glycogen storage disease due to acid maltase deficiency   0.47
                                       Madras motor neuron disease   0.47
                                    Congenital myasthenic syndrome   0.47",ALS,4,0.430676558,4,0.430676558
3,ALS_28356084_1_gemini2p5flash_SO.txt,"                                                                       Disease  Score
                                                          Monomelic amyotrophy   0.53
                                                 Amyotrophic lateral sclerosis   0.52
                                                   Multifocal motor neuropathy   0.52
                                                          Neuralgic amyotrophy   0.51
                      Autosomal recessive axonal neuropathy with neuromyotonia   0.49
                                                    O'Sullivan-McLeod syndrome   0.48
                                                               Isaacs syndrome   0.47
                              DNAJB6-related limb-girdle muscular dystrophy D1   0.47
                           Calpain-3-related limb-girdle muscular dystrophy R1   0.47
                                   Facial onset sensory and motor neuronopathy   0.47
                                                      Macrophagic myofasciitis   0.47
Inclusion body myopathy with Paget disease of bone and frontotemporal dementia   0.46
                                                   Myoclonus-dystonia syndrome   0.46
                                 Autosomal dominant spastic paraplegia type 41   0.46
                             Lower motor neuron syndrome with late-adult onset   0.46
                             Peripheral motor neuropathy-dysautonomia syndrome   0.46
                    Huntington disease-like syndrome due to C9ORF72 expansions   0.45
                                           Charcot-Marie-Tooth disease type 1F   0.45
                       Glycogen storage disease due to acid maltase deficiency   0.45
                                                  Sandhoff disease, adult form   0.45","                                                                       Disease  Score
                                                          Monomelic amyotrophy   0.53
                                                 Amyotrophic lateral sclerosis   0.52
                                                   Multifocal motor neuropathy   0.52
                                                          Neuralgic amyotrophy   0.51
                      Autosomal recessive axonal neuropathy with neuromyotonia   0.49
                                                    O'Sullivan-McLeod syndrome   0.48
                                                               Isaacs syndrome   0.47
                              DNAJB6-related limb-girdle muscular dystrophy D1   0.47
                           Calpain-3-related limb-girdle muscular dystrophy R1   0.47
                                   Facial onset sensory and motor neuronopathy   0.47
                                                      Macrophagic myofasciitis   0.47
Inclusion body myopathy with Paget disease of bone and frontotemporal dementia   0.46
                                                   Myoclonus-dystonia syndrome   0.46
                                 Autosomal dominant spastic paraplegia type 41   0.46
                             Lower motor neuron syndrome with late-adult onset   0.46
                             Peripheral motor neuropathy-dysautonomia syndrome   0.46
                    Huntington disease-like syndrome due to C9ORF72 expansions   0.45
                                           Charcot-Marie-Tooth disease type 1F   0.45
                       Glycogen storage disease due to acid maltase deficiency   0.45
                                                  Sandhoff disease, adult form   0.45",ALS,2,0.630929754,2,0.630929754
4,ALS_28356084_2_gemini2p5flash_SO.txt,"                                                                       Disease  Score
                                                   Multifocal motor neuropathy   0.59
                                                 Amyotrophic lateral sclerosis   0.57
                                   Facial onset sensory and motor neuronopathy   0.54
                                                               Isaacs syndrome   0.53
                                                          Monomelic amyotrophy   0.53
                                                       Inclusion body myositis   0.52
                                              Proximal spinal muscular atrophy   0.51
                                                 Facioscapulohumeral dystrophy   0.51
                                        Juvenile amyotrophic lateral sclerosis   0.51
                                                      Macrophagic myofasciitis   0.51
Inclusion body myopathy with Paget disease of bone and frontotemporal dementia   0.51
                   Delta-sarcoglycan-related limb-girdle muscular dystrophy R6   0.50
                              DNAJB6-related limb-girdle muscular dystrophy D1   0.50
               Autosomal dominant adult-onset proximal spinal muscular atrophy   0.50
                             Lower motor neuron syndrome with late-adult onset   0.49
                               Adult-onset distal myopathy due to VCP mutation   0.49
                                                   Madras motor neuron disease   0.49
                                                    Proximal myotonic myopathy   0.49
                                                    O'Sullivan-McLeod syndrome   0.49
                                                             Myasthenia gravis   0.49","                                                                       Disease  Score
                                                   Multifocal motor neuropathy   0.59
                                                 Amyotrophic lateral sclerosis   0.57
                                   Facial onset sensory and motor neuronopathy   0.54
                                                               Isaacs syndrome   0.53
                                                          Monomelic amyotrophy   0.53
                                                       Inclusion body myositis   0.52
                                              Proximal spinal muscular atrophy   0.51
                                                 Facioscapulohumeral dystrophy   0.51
                                        Juvenile amyotrophic lateral sclerosis   0.51
                                                      Macrophagic myofasciitis   0.51
Inclusion body myopathy with Paget disease of bone and frontotemporal dementia   0.51
                   Delta-sarcoglycan-related limb-girdle muscular dystrophy R6   0.50
                              DNAJB6-related limb-girdle muscular dystrophy D1   0.50
               Autosomal dominant adult-onset proximal spinal muscular atrophy   0.50
                             Lower motor neuron syndrome with late-adult onset   0.49
                               Adult-onset distal myopathy due to VCP mutation   0.49
                                                   Madras motor neuron disease   0.49
                                                    Proximal myotonic myopathy   0.49
                                                    O'Sullivan-McLeod syndrome   0.49
                                                             Myasthenia gravis   0.49",ALS,2,0.630929754,2,0.630929754
5,ALS_33230634_gemini2p5flash_SO.txt,"                                                   Disease  Score
                                  Macrophagic myofasciitis   0.46
                                             Poliomyelitis   0.42
          DNAJB6-related limb-girdle muscular dystrophy D1   0.42
    Anoctamin-5-related limb-girdle muscular dystrophy R12   0.42
                                  Native American myopathy   0.42
                                            Focal myositis   0.42
     Hereditary motor and sensory neuropathy, Okinawa type   0.41
                               Multifocal motor neuropathy   0.41
        POMGNT2-related limb-girdle muscular dystrophy R24   0.41
                                   Inclusion body myositis   0.41
                             Amyotrophic lateral sclerosis   0.41
                                           Isaacs syndrome   0.41
               Facial onset sensory and motor neuronopathy   0.41
Beta-sarcoglycan-related limb-girdle muscular dystrophy R4   0.40
                                       Zebra body myopathy   0.40
                          Proximal spinal muscular atrophy   0.40
   Glycogen storage disease due to acid maltase deficiency   0.40
       Dysferlin-related limb-girdle muscular dystrophy R2   0.40
                                               Pyomyositis   0.40
            FKRP-related limb-girdle muscular dystrophy R9   0.40","                                                   Disease  Score
                                  Macrophagic myofasciitis   0.46
                                             Poliomyelitis   0.42
          DNAJB6-related limb-girdle muscular dystrophy D1   0.42
    Anoctamin-5-related limb-girdle muscular dystrophy R12   0.42
                                  Native American myopathy   0.42
                                            Focal myositis   0.42
     Hereditary motor and sensory neuropathy, Okinawa type   0.41
                               Multifocal motor neuropathy   0.41
        POMGNT2-related limb-girdle muscular dystrophy R24   0.41
                                   Inclusion body myositis   0.41
                             Amyotrophic lateral sclerosis   0.41
                                           Isaacs syndrome   0.41
               Facial onset sensory and motor neuronopathy   0.41
Beta-sarcoglycan-related limb-girdle muscular dystrophy R4   0.40
                                       Zebra body myopathy   0.40
                          Proximal spinal muscular atrophy   0.40
   Glycogen storage disease due to acid maltase deficiency   0.40
       Dysferlin-related limb-girdle muscular dystrophy R2   0.40
                                               Pyomyositis   0.40
            FKRP-related limb-girdle muscular dystrophy R9   0.40",ALS,11,0.278942946,11,0.278942946
6,ALS_34254495_gemini2p5flash_SO.txt,"                                                                       Disease  Score
                                        Juvenile amyotrophic lateral sclerosis   0.63
                                   Facial onset sensory and motor neuronopathy   0.57
                                                   Multifocal motor neuropathy   0.57
                        Infantile-onset ascending hereditary spastic paralysis   0.56
                                                 Amyotrophic lateral sclerosis   0.55
                             Lower motor neuron syndrome with late-adult onset   0.54
                                                          Monomelic amyotrophy   0.54
                                          Amyotrophic lateral sclerosis type 4   0.54
                                              Proximal spinal muscular atrophy   0.53
                                            Juvenile primary lateral sclerosis   0.53
                      Autosomal recessive axonal neuropathy with neuromyotonia   0.52
                       Glycogen storage disease due to acid maltase deficiency   0.52
                                                       Inclusion body myositis   0.51
                        Autosomal dominant Charcot-Marie-Tooth disease type 2F   0.51
                              POMT1-related limb-girdle muscular dystrophy R11   0.51
             Early-onset spastic ataxia-myoclonic epilepsy-neuropathy syndrome   0.51
                              DNAJB6-related limb-girdle muscular dystrophy D1   0.50
                                       Neuronal intranuclear inclusion disease   0.50
                 Laminin subunit alpha 2-related congenital muscular dystrophy   0.50
Inclusion body myopathy with Paget disease of bone and frontotemporal dementia   0.50","                                                                       Disease  Score
                                        Juvenile amyotrophic lateral sclerosis   0.63
                                   Facial onset sensory and motor neuronopathy   0.57
                                                   Multifocal motor neuropathy   0.57
                        Infantile-onset ascending hereditary spastic paralysis   0.56
                                                 Amyotrophic lateral sclerosis   0.55
                             Lower motor neuron syndrome with late-adult onset   0.54
                                                          Monomelic amyotrophy   0.54
                                          Amyotrophic lateral sclerosis type 4   0.54
                                              Proximal spinal muscular atrophy   0.53
                                            Juvenile primary lateral sclerosis   0.53
                      Autosomal recessive axonal neuropathy with neuromyotonia   0.52
                       Glycogen storage disease due to acid maltase deficiency   0.52
                                                       Inclusion body myositis   0.51
                        Autosomal dominant Charcot-Marie-Tooth disease type 2F   0.51
                              POMT1-related limb-girdle muscular dystrophy R11   0.51
             Early-onset spastic ataxia-myoclonic epilepsy-neuropathy syndrome   0.51
                              DNAJB6-related limb-girdle muscular dystrophy D1   0.50
                                       Neuronal intranuclear inclusion disease   0.50
                 Laminin subunit alpha 2-related congenital muscular dystrophy   0.50
Inclusion body myopathy with Paget disease of bone and frontotemporal dementia   0.50",ALS,5,0.386852807,5,0.386852807
7,ALS_34916730_1_gemini2p5flash_SO.txt,"                                                        Disease  Score
                                    Multifocal motor neuropathy   0.55
              Lower motor neuron syndrome with late-adult onset   0.51
             Subacute inflammatory demyelinating polyneuropathy   0.49
                    Facial onset sensory and motor neuronopathy   0.47
                                           Monomelic amyotrophy   0.46
         Autosomal dominant Charcot-Marie-Tooth disease type 2E   0.46
                                    Madras motor neuron disease   0.46
       Autosomal recessive axonal neuropathy with neuromyotonia   0.46
                               Proximal spinal muscular atrophy   0.46
                                  Amyotrophic lateral sclerosis   0.45
                           Amyotrophic lateral sclerosis type 4   0.45
         Autosomal dominant Charcot-Marie-Tooth disease type 2F   0.45
         Anoctamin-5-related limb-girdle muscular dystrophy R12   0.45
                                                  Poliomyelitis   0.45
                            Charcot-Marie-Tooth disease type 1A   0.44
                Adult-onset distal myopathy due to VCP mutation   0.44
                              Lambert-Eaton myasthenic syndrome   0.44
                                     Postpoliomyelitis syndrome   0.43
Autosomal dominant adult-onset proximal spinal muscular atrophy   0.43
                         Juvenile amyotrophic lateral sclerosis   0.43","                                                        Disease  Score
                                    Multifocal motor neuropathy   0.55
              Lower motor neuron syndrome with late-adult onset   0.51
             Subacute inflammatory demyelinating polyneuropathy   0.49
                    Facial onset sensory and motor neuronopathy   0.47
                                           Monomelic amyotrophy   0.46
         Autosomal dominant Charcot-Marie-Tooth disease type 2E   0.46
                                    Madras motor neuron disease   0.46
       Autosomal recessive axonal neuropathy with neuromyotonia   0.46
                               Proximal spinal muscular atrophy   0.46
                                  Amyotrophic lateral sclerosis   0.45
                           Amyotrophic lateral sclerosis type 4   0.45
         Autosomal dominant Charcot-Marie-Tooth disease type 2F   0.45
         Anoctamin-5-related limb-girdle muscular dystrophy R12   0.45
                                                  Poliomyelitis   0.45
                            Charcot-Marie-Tooth disease type 1A   0.44
                Adult-onset distal myopathy due to VCP mutation   0.44
                              Lambert-Eaton myasthenic syndrome   0.44
                                     Postpoliomyelitis syndrome   0.43
Autosomal dominant adult-onset proximal spinal muscular atrophy   0.43
                         Juvenile amyotrophic lateral sclerosis   0.43",ALS,10,0.289064826,10,0.289064826
8,ALS_34916730_2_gemini2p5flash_SO.txt,"                                                 Disease  Score
                             Multifocal motor neuropathy   0.54
       Lower motor neuron syndrome with late-adult onset   0.52
      Subacute inflammatory demyelinating polyneuropathy   0.49
                             Madras motor neuron disease   0.47
       Peripheral motor neuropathy-dysautonomia syndrome   0.47
                                           Poliomyelitis   0.47
             Facial onset sensory and motor neuronopathy   0.46
Autosomal recessive axonal neuropathy with neuromyotonia   0.46
  Anoctamin-5-related limb-girdle muscular dystrophy R12   0.46
                        Proximal spinal muscular atrophy   0.46
             X-linked Charcot-Marie-Tooth disease type 2   0.45
                     Charcot-Marie-Tooth disease type 1B   0.45
  Autosomal dominant Charcot-Marie-Tooth disease type 2E   0.45
  Autosomal dominant Charcot-Marie-Tooth disease type 2F   0.45
       Chronic inflammatory demyelinating polyneuropathy   0.45
  Autosomal dominant Charcot-Marie-Tooth disease type 2Z   0.45
 Autosomal dominant Charcot-Marie-Tooth disease type 2A2   0.45
                           Amyotrophic lateral sclerosis   0.44
                       Lambert-Eaton myasthenic syndrome   0.44
                                  Miller Fisher syndrome   0.44","                                                 Disease  Score
                             Multifocal motor neuropathy   0.54
       Lower motor neuron syndrome with late-adult onset   0.52
      Subacute inflammatory demyelinating polyneuropathy   0.49
                             Madras motor neuron disease   0.47
       Peripheral motor neuropathy-dysautonomia syndrome   0.47
                                           Poliomyelitis   0.47
             Facial onset sensory and motor neuronopathy   0.46
Autosomal recessive axonal neuropathy with neuromyotonia   0.46
  Anoctamin-5-related limb-girdle muscular dystrophy R12   0.46
                        Proximal spinal muscular atrophy   0.46
             X-linked Charcot-Marie-Tooth disease type 2   0.45
                     Charcot-Marie-Tooth disease type 1B   0.45
  Autosomal dominant Charcot-Marie-Tooth disease type 2E   0.45
  Autosomal dominant Charcot-Marie-Tooth disease type 2F   0.45
       Chronic inflammatory demyelinating polyneuropathy   0.45
  Autosomal dominant Charcot-Marie-Tooth disease type 2Z   0.45
 Autosomal dominant Charcot-Marie-Tooth disease type 2A2   0.45
                           Amyotrophic lateral sclerosis   0.44
                       Lambert-Eaton myasthenic syndrome   0.44
                                  Miller Fisher syndrome   0.44",ALS,18,0.235408913,18,0.235408913
9,ALS_34916730_3_gemini2p5flash_SO.txt,"                                                 Disease  Score
                             Multifocal motor neuropathy   0.53
             Facial onset sensory and motor neuronopathy   0.50
                                    Monomelic amyotrophy   0.50
  Autosomal dominant Charcot-Marie-Tooth disease type 2F   0.48
       Chronic inflammatory demyelinating polyneuropathy   0.47
                             Madras motor neuron disease   0.47
       Lower motor neuron syndrome with late-adult onset   0.47
                    Amyotrophic lateral sclerosis type 4   0.47
                                    Neuralgic amyotrophy   0.47
                     Charcot-Marie-Tooth disease type 1F   0.46
                           Amyotrophic lateral sclerosis   0.46
       Peripheral motor neuropathy-dysautonomia syndrome   0.46
                     Charcot-Marie-Tooth disease type 4A   0.45
                  Juvenile amyotrophic lateral sclerosis   0.45
                                 Inclusion body myositis   0.45
                               Primary lateral sclerosis   0.45
                        Proximal spinal muscular atrophy   0.45
Autosomal recessive axonal neuropathy with neuromyotonia   0.45
           Myoclonus-cerebellar ataxia-deafness syndrome   0.45
                     Charcot-Marie-Tooth disease type 4C   0.45","                                                 Disease  Score
                             Multifocal motor neuropathy   0.53
             Facial onset sensory and motor neuronopathy   0.50
                                    Monomelic amyotrophy   0.50
  Autosomal dominant Charcot-Marie-Tooth disease type 2F   0.48
       Chronic inflammatory demyelinating polyneuropathy   0.47
                             Madras motor neuron disease   0.47
       Lower motor neuron syndrome with late-adult onset   0.47
                    Amyotrophic lateral sclerosis type 4   0.47
                                    Neuralgic amyotrophy   0.47
                     Charcot-Marie-Tooth disease type 1F   0.46
                           Amyotrophic lateral sclerosis   0.46
       Peripheral motor neuropathy-dysautonomia syndrome   0.46
                     Charcot-Marie-Tooth disease type 4A   0.45
                  Juvenile amyotrophic lateral sclerosis   0.45
                                 Inclusion body myositis   0.45
                               Primary lateral sclerosis   0.45
                        Proximal spinal muscular atrophy   0.45
Autosomal recessive axonal neuropathy with neuromyotonia   0.45
           Myoclonus-cerebellar ataxia-deafness syndrome   0.45
                     Charcot-Marie-Tooth disease type 4C   0.45",ALS,8,0.315464877,8,0.315464877
